BioWare Version 5.3.2.9 Export
Device:	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6
Samples (#):	4000	4000	4000	4000	4000	4000	4000	4000	4000
Rate (Hz):	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	861	861	861	861	861	861	861	861	861
Contact period end (sample #):	3999	3999	3999	3999	3999	3999	3999	3999	3999
Contact period start time (s):	4.305000	4.305000	4.305000	4.305000	4.305000	4.305000	4.305000	4.305000	4.305000
Contact period end time (s):	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	|Ft|	Mx	My	Mz	Ax	Ay
	N	N	N	N	N m	N m	N m	m	m
0.235000	0.090723	0.068319	0.255258	0.279383	0.267327	-0.217975	-0.034594	0.822011	1.039056
0.240000	-0.065477	0.185126	-0.390959	0.437502	0.346413	-0.020569	-0.075463	-0.031931	-0.008228
0.245000	-0.182672	-0.048666	-0.229135	0.297052	-0.023179	-0.058775	-0.032565	-0.031931	-0.008228
0.250000	-0.104482	0.185245	-0.387496	0.442024	-0.160058	0.182874	-0.052857	-0.031931	-0.008228
0.255000	0.129549	-0.048666	-0.230335	0.268711	-0.191419	-0.113827	0.007954	-0.031931	-0.008228
0.260000	-0.104842	-0.048726	-0.225691	0.253579	0.060248	0.148589	0.011956	-0.031931	-0.008228
0.265000	-0.260952	0.224260	0.095690	0.357135	0.134049	0.006012	0.016301	-0.094761	1.392639
0.270000	-0.221587	0.107335	-0.556728	0.608742	0.140009	-0.128950	-0.046613	-0.031931	-0.008228
0.275000	-0.026472	0.263275	-0.225691	0.347780	0.047456	0.151802	-0.016188	-0.031931	-0.008228
0.280000	0.168644	0.380022	-0.065937	0.420957	-0.251649	0.058149	-0.043076	-0.031931	-0.008228
0.285000	-0.026472	0.029304	-0.230005	0.233370	0.226722	-0.052770	-0.032599	-0.031931	-0.008228
0.290000	0.207739	-0.204487	0.422599	0.513381	-0.186062	0.230161	0.020347	-0.576564	-0.448510
0.295000	0.012353	-0.048845	0.741564	0.743274	-0.022681	-0.118416	-0.030980	0.127753	-0.038814
0.300000	-0.065657	-0.048666	-0.388538	0.397040	0.102586	0.115998	-0.002141	-0.031931	-0.008228
0.305000	0.129549	0.029424	-1.201384	1.208707	-0.026558	-0.114513	0.040714	-0.031931	-0.008228
0.310000	0.129908	0.068319	-0.552408	0.571575	-0.196707	0.022219	-0.065065	-0.031931	-0.008228
0.315000	-0.026562	-0.087502	-1.208453	1.211908	0.064663	-0.257384	0.028623	-0.031931	-0.008228
0.320000	-0.065657	0.068379	-0.881718	0.886800	-0.195499	-0.326438	0.022439	-0.031931	-0.008228
0.325000	0.090723	-0.126696	-0.069044	0.170440	-0.061604	-0.149581	-0.059186	-0.031931	-0.008228
0.330000	0.090633	0.029424	1.068276	1.072517	0.394909	0.088605	0.010266	-0.114873	0.361442
0.335000	0.012443	-0.009711	0.096032	0.097320	0.227694	-0.050956	-0.010345	0.498679	2.362799
0.340000	-0.104662	0.029245	1.231643	1.236428	0.268031	0.046872	-0.028643	-0.069988	0.209392
0.345000	-0.065657	0.185185	-0.554315	0.588107	0.136011	-0.122482	-0.018477	-0.031931	-0.008228
0.350000	-0.026562	-0.009770	0.256638	0.258194	0.186207	0.049637	-0.036860	-0.225345	0.717335
0.355000	0.012353	-0.048726	-0.556550	0.558815	-0.022191	-0.119105	0.001768	-0.031931	-0.008228
0.360000	0.012623	0.107335	-0.230355	0.254447	0.392077	-0.119489	-0.026378	-0.031931	-0.008228
0.365000	0.051359	0.146111	-0.224140	0.272442	0.051946	0.291169	-0.012620	-0.031931	-0.008228
0.370000	-0.104662	-0.087681	0.743463	0.755896	-0.105993	-0.123031	-0.020475	0.133552	-0.150795
0.375000	-0.104932	-0.009531	0.091726	0.139697	0.144754	-0.123841	0.089577	1.318187	1.569886
0.380000	-0.260952	-0.009472	-0.232076	0.349349	0.313171	-0.130635	0.065385	-0.031931	-0.008228
0.385000	-0.182942	0.068260	-0.066287	0.206206	-0.070314	-0.024589	0.020185	-0.031931	-0.008228
0.390000	0.129728	-0.009591	-0.390945	0.412019	-0.066852	0.056118	-0.008092	-0.031931	-0.008228
0.395000	0.012443	0.224260	0.257503	0.341694	0.092156	0.119451	0.006066	-0.495814	0.349657
0.400000	-0.221767	0.185305	0.909240	0.954063	-0.160198	0.110647	-0.005989	-0.153624	-0.184417
0.405000	-0.026742	-0.048726	-0.068522	0.088230	-0.233309	-0.018006	0.011933	-0.031931	-0.008228
0.410000	-0.065567	0.146350	0.741559	0.758700	0.137958	-0.053795	0.002145	0.040612	0.177810
0.415000	0.051359	-0.048546	-0.878281	0.881119	0.061363	-0.049651	0.061031	-0.031931	-0.008228
0.420000	-0.026652	0.029364	-0.390773	0.392780	-0.068405	0.117776	0.024387	-0.031931	-0.008228
0.425000	-0.260772	-0.126756	0.420012	0.510371	-0.104525	-0.061507	-0.065302	0.114509	-0.257089
0.430000	0.051359	-0.126636	0.576994	0.592956	0.023117	-0.355259	0.028270	0.583775	0.031837
0.435000	-0.299867	-0.204607	-0.553781	0.662161	-0.353802	-0.131324	-0.022402	-0.031931	-0.008228
0.440000	0.207649	0.029304	-0.391974	0.444545	-0.236642	0.059529	0.007943	-0.031931	-0.008228
0.445000	-0.221677	0.029424	0.254579	0.338847	-0.067826	-0.162245	-0.009946	0.605376	-0.274652
0.450000	0.051628	-0.126816	0.904590	0.914894	-0.230423	-0.082354	-0.081769	0.059109	-0.262955
0.455000	-0.065567	-0.048546	-0.718877	0.723491	-0.064403	-0.224421	0.010301	-0.031931	-0.008228
0.460000	0.168734	0.029364	-0.390437	0.426350	0.184291	0.125425	-0.006131	-0.031931	-0.008228
0.465000	-0.104662	0.068260	-0.068364	0.142433	0.183188	-0.021815	-0.020450	-0.031931	-0.008228
0.470000	0.129549	-0.009711	-0.550693	0.565809	0.058829	0.089949	-0.000227	-0.031931	-0.008228
0.475000	0.207559	-0.126636	-0.392680	0.461860	0.275501	-0.009304	0.028224	-0.031931	-0.008228
0.480000	0.051538	-0.087681	0.418455	0.430638	0.062830	-0.117062	-0.020522	0.247816	0.141919
0.485000	-0.104752	-0.048606	-0.876032	0.883610	-0.192092	0.012453	0.024398	-0.031931	-0.008228
