BioWare Version 5.3.2.9 Export
Device:	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6
Samples (#):	4000	4000	4000	4000	4000	4000	4000	4000	4000
Rate (Hz):	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	811	811	811	811	811	811	811	811	811
Contact period end (sample #):	3999	3999	3999	3999	3999	3999	3999	3999	3999
Contact period start time (s):	4.055000	4.055000	4.055000	4.055000	4.055000	4.055000	4.055000	4.055000	4.055000
Contact period end time (s):	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	|Ft|	Mx	My	Mz	Ax	Ay
	N	N	N	N	N m	N m	N m	m	m
0.000000	0.022759	-0.118961	0.742425	0.752240	-0.136780	-0.326569	0.018135	0.405613	-0.206616
0.005000	0.178869	-0.040990	-0.230517	0.294640	-0.055653	-0.388853	0.038407	-0.034255	-0.022383
0.010000	0.022939	0.309787	0.744662	0.806855	-0.070530	-0.122425	-0.046969	0.130149	-0.117097
0.015000	0.022759	-0.002214	0.095344	0.098048	0.026764	-0.190973	-0.039154	1.968734	0.258330
0.020000	0.100769	0.153846	1.396040	1.408101	0.103788	0.153189	0.013901	-0.143986	0.051962
0.025000	0.022759	0.115010	-0.064046	0.133593	-0.273525	0.047687	0.034546	-0.034255	-0.022383
0.030000	-0.055341	0.114831	0.741557	0.752433	0.022770	-0.125855	-0.014551	0.135462	0.008323
0.035000	-0.133441	-0.040931	0.260765	0.295770	0.322535	0.040596	0.034568	-0.189936	1.214501
0.040000	0.178869	-0.002035	0.100344	0.205103	-0.058774	0.087961	0.030226	-0.910852	-0.608110
0.045000	0.100769	-0.079886	-0.713708	0.725201	-0.181122	-0.153793	0.062985	-0.034255	-0.022383
0.050000	-0.016156	-0.080005	-0.064746	0.104182	0.071577	-0.090553	-0.020493	-0.034255	-0.022383
0.055000	0.101219	-0.196991	0.748448	0.780529	0.117726	0.016781	-0.079499	-0.056676	0.134911
0.060000	-0.016426	-0.040871	-0.064060	0.077743	0.154115	-0.022603	0.081366	-0.034255	-0.022383
0.065000	0.139954	-0.079946	-0.065444	0.173958	0.324718	-0.016483	0.016140	-0.034255	-0.022383
0.070000	-0.055161	0.036860	-0.226209	0.235737	-0.059875	-0.126060	-0.055176	-0.034255	-0.022383
0.075000	-0.211631	-0.196931	-0.387856	0.483737	0.160290	-0.098820	0.038499	-0.034255	-0.022383
0.080000	0.101039	-0.040871	1.233890	1.238695	-0.099032	0.051332	0.010260	-0.075857	-0.102642
0.085000	0.023029	0.153965	0.746207	0.762273	0.104188	0.081569	-0.034552	-0.143567	0.117241
0.090000	0.022759	-0.196871	0.098273	0.221210	0.034073	0.013309	0.034496	-0.169684	0.324335
0.095000	-0.328646	0.115130	1.396215	1.438986	0.020741	-0.068479	0.057246	0.014791	-0.007528
0.100000	0.022759	0.076055	-1.359239	1.361555	-0.019498	0.114780	0.042727	-0.034255	-0.022383
0.105000	0.140134	0.192801	0.910261	0.940949	0.059852	0.120606	-0.065362	-0.166751	0.043370
0.110000	0.061764	0.231876	-0.226207	0.329774	-0.151834	0.083049	0.020146	-0.034255	-0.022383
0.115000	-0.055161	0.036980	-0.550181	0.554174	0.024531	0.009789	-0.022429	-0.034255	-0.022383
0.120000	0.061764	0.075875	0.100864	0.140519	-0.146514	0.015236	0.003747	-0.185313	-1.474970
0.125000	0.100949	0.231756	-0.225706	0.338888	0.353517	0.015864	-0.043072	-0.034255	-0.022383
0.130000	-0.016336	-0.002035	-0.062853	0.064973	0.152119	-0.022562	0.020132	-0.034255	-0.022383
0.135000	-0.055251	-0.040990	1.233884	1.235801	0.069616	0.112739	-0.002135	-0.125625	0.034038
0.140000	-0.016246	0.075816	0.422419	0.429476	-0.145437	0.148245	-0.032909	-0.385199	-0.366678
0.145000	0.062034	-0.041170	0.583716	0.588445	-0.182667	0.049477	-0.081751	-0.119018	-0.335322
0.150000	0.061854	-0.119021	-0.388714	0.411206	0.072909	-0.223637	-0.008403	-0.034255	-0.022383
0.155000	-0.016156	-0.041110	-0.552410	0.554173	-0.308701	-0.056249	-0.045047	-0.034255	-0.022383
0.160000	0.217964	-0.040931	0.099149	0.242929	-0.394062	-0.046104	0.044616	0.430745	-3.996811
0.165000	0.062034	-0.079886	0.096900	0.140070	-0.139008	-0.121003	-0.008075	1.214477	-1.456924
0.170000	0.061674	-0.002155	0.099486	0.117071	-0.142956	-0.052874	0.007667	0.497216	-1.459338
0.175000	0.023029	0.192980	-0.384220	0.430577	-0.362118	0.183912	-0.026359	-0.034255	-0.022383
0.180000	-0.093986	-0.119021	0.100338	0.181844	0.114665	0.144590	-0.089581	-1.475280	1.120402
0.185000	-0.016246	-0.080005	0.097765	0.127369	-0.223459	-0.055998	-0.000187	0.538526	-2.308057
0.190000	0.061854	0.075935	-0.224825	0.245231	-0.230479	-0.120971	-0.000185	-0.034255	-0.022383
0.195000	-0.015976	-0.001975	0.097765	0.099081	-0.226658	-0.055987	-0.044719	0.538413	-2.340781
0.200000	-0.016156	0.192861	-0.710263	0.736159	-0.192842	0.249902	-0.028636	-0.034255	-0.022383
0.205000	-0.094526	-0.001975	0.585773	0.593354	0.152115	0.042626	0.056835	-0.107025	0.237301
0.210000	0.022849	0.309906	-0.061283	0.316732	-0.450875	0.116088	0.006085	-0.034255	-0.022383
0.215000	0.257059	-0.041050	-0.875183	0.913077	0.027911	-0.045661	0.001704	-0.034255	-0.022383
0.220000	-0.055251	-0.196752	-0.224314	0.303448	-0.050521	0.146250	0.046961	-0.034255	-0.022383
0.225000	0.140044	0.153906	-0.550867	0.588858	-0.064405	-0.050169	-0.020502	-0.034255	-0.022383
0.230000	-0.094436	0.075816	1.717248	1.721513	0.191935	-0.059060	-0.012580	0.000137	0.089386
0.235000	0.061764	-0.119080	0.097581	0.165882	0.115384	0.014763	-0.004471	-0.185543	1.160063
0.240000	-0.094346	0.037159	1.070515	1.075307	0.277261	-0.059453	0.057164	0.021282	0.236615
0.245000	-0.094436	0.036980	-0.386831	0.399905	0.403574	0.177900	0.028348	-0.034255	-0.022383
0.250000	0.022849	0.114950	0.582501	0.594174	0.063941	-0.088666	-0.002133	0.117961	0.087387
0.255000	0.100859	-0.118841	-0.874663	0.888443	-0.053445	-0.119989	0.050859	-0.034255	-0.022383
0.260000	-0.016246	-0.040990	0.420352	0.422658	-0.140469	-0.192137	0.008006	0.422831	-0.356552
0.265000	0.139684	-0.158095	0.260776	0.335425	-0.009947	-0.083837	0.027924	0.287235	-0.060525
0.270000	-0.016156	0.115010	-0.710257	0.719690	-0.358293	0.182086	0.004099	-0.034255	-0.022383
0.275000	0.179049	-0.040990	-0.872946	0.892061	0.111737	0.155277	-0.002205	-0.034255	-0.022383
0.280000	-0.016156	-0.080005	-0.389232	0.397698	0.071891	0.045403	-0.020493	-0.034255	-0.022383
0.285000	-0.094256	0.115070	0.582329	0.601026	0.063891	-0.161536	0.020496	0.243142	0.087334
0.290000	-0.016066	0.192801	0.259564	0.323734	0.144713	-0.022445	-0.065316	0.052215	0.535140
