BioWare Version 5.3.2.9 Export
Device:	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6
Samples (#):	4000	4000	4000	4000	4000	4000	4000	4000	4000
Rate (Hz):	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	846	846	846	846	846	846	846	846	846
Contact period end (sample #):	3999	3999	3999	3999	3999	3999	3999	3999	3999
Contact period start time (s):	4.230000	4.230000	4.230000	4.230000	4.230000	4.230000	4.230000	4.230000	4.230000
Contact period end time (s):	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	|Ft|	Mx	My	Mz	Ax	Ay
	N	N	N	N	N m	N m	N m	m	m
0.000000	0.206880	-0.014980	-0.131038	0.245346	-0.082599	0.234546	-0.081300	-0.070752	0.004116
0.005000	-0.144706	-0.170622	-0.294235	0.369629	0.134676	0.117611	0.031108	-0.070752	0.004116
0.010000	-0.105791	0.063289	-0.458969	0.475237	-0.084956	-0.050806	0.061593	-0.070752	0.004116
0.015000	-0.144976	0.219170	1.484144	1.507228	0.161972	-0.119940	0.075715	0.010062	0.113250
0.020000	0.167425	-0.014920	-0.135874	0.216137	0.255581	-0.108035	0.026463	-0.070752	0.004116
0.025000	-0.066696	0.219170	0.349572	0.417953	-0.049053	-0.355207	0.035080	0.945366	-0.136208
0.030000	-0.027601	0.063409	-0.456212	0.461424	-0.085677	0.088613	0.074011	-0.070752	0.004116
0.035000	-0.144796	0.102125	1.165354	1.178747	-0.087627	0.016572	0.010524	-0.084973	-0.071078
0.040000	0.089594	-0.014860	0.673713	0.679806	-0.039145	-0.144448	-0.018058	0.143654	-0.053988
0.045000	0.089684	0.141200	-0.460698	0.490126	0.080762	-0.179220	-0.005592	-0.070752	0.004116
0.050000	-0.066696	0.180394	0.353883	0.402770	-0.132457	0.121496	0.092382	-0.414075	-0.370181
0.055000	0.206520	-0.092771	-1.590787	1.606817	-0.205619	0.131866	0.049033	-0.070752	0.004116
0.060000	0.011584	-0.014800	-0.133275	0.134594	-0.166434	0.022402	-0.021967	-0.070752	0.004116
0.065000	0.089325	0.063230	0.351984	0.368605	-0.042750	0.127710	0.075620	-0.433582	-0.117337
0.070000	0.206700	-0.053756	0.027838	0.215382	0.130377	-0.004013	0.016614	0.073402	4.687553
0.075000	0.011584	0.257946	-0.457249	0.525116	-0.009242	-0.046064	-0.062858	-0.070752	0.004116
0.080000	0.128689	0.102185	1.813460	1.820890	-0.003085	0.164103	-0.003643	-0.161244	0.002414
0.085000	-0.066606	-0.092771	0.028524	0.117713	0.216119	0.052743	-0.001650	-1.919791	7.580770
0.090000	0.128689	0.141200	0.030595	0.193480	0.121667	0.129001	0.004550	-4.287161	3.980798
0.095000	-0.027511	0.258126	1.490870	1.513301	-0.010105	0.089523	-0.003572	-0.130800	-0.002663
0.100000	-0.222716	-0.092830	0.679919	0.721464	-0.121883	0.115318	-0.038283	-0.240358	-0.175145
0.105000	0.089235	-0.053875	-0.296302	0.314103	0.130069	-0.213180	0.054973	-0.070752	0.004116
0.110000	-0.105611	-0.014621	0.354225	0.369922	-0.040409	0.051724	0.037342	-0.216771	-0.109961
0.115000	-0.222806	-0.170801	0.677848	0.733685	-0.033827	0.047063	-0.017990	-0.140182	-0.045788
0.120000	0.128869	-0.014860	0.027152	0.132534	0.044640	-0.075165	-0.068835	2.697596	1.648222
0.125000	0.011494	0.024155	-1.107253	1.107576	0.000703	-0.182569	-0.009842	-0.070752	0.004116
0.130000	0.089594	0.180215	1.163291	1.180572	-0.258575	0.094429	0.022908	-0.151926	-0.218163
0.135000	0.050679	-0.014800	-0.136044	0.145929	0.171568	0.023424	-0.032132	-0.070752	0.004116
0.140000	0.050409	-0.053875	0.189307	0.203176	0.088400	-0.044329	0.004219	0.163414	0.471083
0.145000	0.089594	-0.014920	-0.293023	0.306777	-0.040753	0.059439	-0.034432	-0.070752	0.004116
0.150000	0.050409	0.102185	0.348704	0.366848	0.124879	-0.146489	0.036992	0.349344	0.362238
0.155000	-0.183891	-0.014741	-0.616652	0.643656	0.127704	0.115897	0.045230	-0.070752	0.004116
0.160000	-0.066516	0.063110	-0.131212	0.160074	-0.001882	-0.049047	-0.038305	-0.070752	0.004116
0.165000	-0.027421	0.063110	0.190183	0.202248	-0.338138	-0.114937	-0.048470	0.533599	-1.773848
0.170000	-0.105881	-0.053756	-0.619588	0.630864	0.298618	-0.017370	0.057320	-0.070752	0.004116
0.175000	0.011674	0.024035	0.190341	0.192207	0.084758	-0.113949	-0.083201	0.527905	0.449410
0.180000	0.245795	-0.053756	0.678871	0.723996	0.298212	0.133875	0.006449	-0.267955	0.443392
0.185000	-0.222716	-0.053815	0.194129	0.300307	0.171464	0.216753	-0.030090	-1.187293	0.887367
0.190000	-0.144886	0.180155	-0.459141	0.514061	-0.089792	-0.120478	0.047216	-0.070752	0.004116
0.195000	-0.144796	-0.053756	0.192075	0.246472	-0.249607	-0.051751	0.026872	0.198679	-1.295412
0.200000	-0.183801	-0.092771	-0.458105	0.502244	-0.163013	0.014210	0.008538	-0.070752	0.004116
0.205000	0.089684	0.141320	0.513108	0.539717	-0.088023	-0.042321	0.027156	0.011728	-0.167432
0.210000	0.089774	-0.053875	0.191041	0.217850	-0.249155	0.025898	-0.066863	-0.206313	-1.300077
0.215000	0.206880	-0.014920	-0.132594	0.246177	0.086355	0.166186	-0.064926	-0.070752	0.004116
0.220000	0.050409	-0.131786	1.487593	1.494270	0.091143	0.024428	0.020581	-0.087174	0.065385
0.225000	-0.144616	-0.131786	0.351123	0.401956	-0.034978	-0.222226	-0.030126	0.562149	-0.095501
0.230000	-0.105431	-0.170681	-0.299922	0.360833	0.136068	-0.221274	-0.036042	-0.070752	0.004116
0.235000	-0.066876	-0.014621	-0.779664	0.782663	-0.082612	0.154927	0.108402	-0.070752	0.004116
0.240000	-0.144706	-0.053756	0.515171	0.537802	0.087722	-0.120179	0.006566	0.162528	0.174394
0.245000	-0.105881	-0.014800	0.028364	0.110609	-0.124408	-0.152568	0.049139	5.308206	-4.382044
0.250000	0.128510	0.024274	0.679569	0.692039	0.041869	0.061396	0.053330	-0.161098	0.065727
0.255000	-0.105611	-0.014800	0.189993	0.217876	0.170940	0.017235	-0.011779	-0.161466	0.903834
0.260000	-0.027421	-0.053756	-0.291822	0.297996	0.129078	0.122494	-0.023928	-0.070752	0.004116
0.265000	-0.300996	0.102125	-0.130524	0.343605	-0.003302	0.213615	0.010570	-0.070752	0.004116
0.270000	0.089684	0.180215	0.840173	0.863951	0.077950	-0.042319	0.002602	-0.020383	0.096894
0.275000	-0.066876	-0.014800	1.163971	1.165985	0.002205	0.223790	0.059280	-0.263017	0.006010
0.280000	0.050499	0.219111	0.513792	0.560841	0.076893	-0.180282	0.008518	0.280133	0.153774
0.285000	-0.261901	0.024155	-0.294579	0.394908	0.126601	-0.023332	0.000393	-0.070752	0.004116
0.290000	-0.066876	0.063230	0.195341	0.215936	-0.002380	0.155364	0.075667	-0.866099	-0.008070
0.295000	0.089505	0.141021	1.325786	1.336266	-0.046792	-0.144014	-0.014101	0.037873	-0.031178
