BioWare Version 5.3.2.9 Export
Device:	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6
Samples (#):	4000	4000	4000	4000	4000	4000	4000	4000	4000
Rate (Hz):	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	833	833	833	833	833	833	833	833	833
Contact period end (sample #):	3999	3999	3999	3999	3999	3999	3999	3999	3999
Contact period start time (s):	4.165000	4.165000	4.165000	4.165000	4.165000	4.165000	4.165000	4.165000	4.165000
Contact period end time (s):	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	|Ft|	Mx	My	Mz	Ax	Ay
	N	N	N	N	N m	N m	N m	m	m
0.000000	-0.070790	-0.002423	-1.529471	1.531111	0.049957	-0.073095	0.020874	-0.032172	0.037143
0.005000	0.007400	-0.158304	0.254085	0.299457	-0.154504	-0.034642	0.016893	0.104168	-0.570937
0.010000	-0.070700	-0.158484	-0.230499	0.288522	0.140047	0.063628	-0.032205	-0.032172	0.037143
0.015000	0.163690	0.036651	0.090534	0.190616	0.301629	0.073054	0.004758	-0.839091	3.368802
0.020000	0.046585	0.075547	0.417105	0.426443	-0.206388	0.069231	-0.029914	-0.198153	-0.457667
0.025000	0.163600	-0.041259	1.387972	1.398190	-0.116384	0.346592	0.041426	-0.281883	-0.046708
0.030000	0.124685	-0.080334	-0.229968	0.273652	-0.284272	0.344529	-0.013589	-0.032172	0.037143
0.035000	-0.031785	0.153577	-0.397126	0.426972	-0.166528	-0.172787	0.047414	-0.032172	0.037143
0.040000	0.085770	-0.158065	-0.395225	0.434216	-0.322618	0.036530	0.021447	-0.032172	0.037143
0.045000	0.046945	0.231727	0.093469	0.254239	0.124316	0.204733	-0.045618	-2.222550	1.367161
0.050000	-0.109615	0.075726	0.574248	0.589500	0.258582	-0.040022	0.019254	0.037523	0.487440
0.055000	0.163870	-0.080214	0.574952	0.603206	-0.156811	-0.164295	-0.011312	0.253583	-0.235594
0.060000	-0.109435	0.114801	0.412449	0.441893	-0.122377	-0.073561	0.003209	0.146179	-0.259564
0.065000	0.007490	0.114741	0.091746	0.147102	0.129381	-0.001129	0.037565	-0.019870	1.447348
0.070000	0.203145	-0.119289	0.093469	0.253445	0.138708	0.211137	-0.086655	-2.291067	1.521133
0.075000	0.124865	0.075726	0.252181	0.291412	0.089447	0.037807	-0.021428	-0.182092	0.391837
0.080000	0.085770	0.036771	0.416229	0.426562	0.216943	0.138255	-0.003083	-0.364333	0.558355
0.085000	0.202875	-0.041319	0.252187	0.326288	-0.074397	-0.026810	-0.025725	0.074140	-0.257864
0.090000	0.007490	0.114682	0.412283	0.428001	-0.291059	-0.204652	0.021192	0.464215	-0.668827
0.095000	-0.070430	0.270742	1.064004	1.100167	-0.129444	0.200715	0.013376	-0.220813	-0.084514
0.100000	-0.109525	0.036891	-0.235655	0.262469	-0.287689	-0.005568	0.039876	-0.032172	0.037143
0.105000	0.202785	0.114562	0.412110	0.473372	-0.291099	-0.264713	-0.021767	0.610164	-0.669218
0.110000	-0.382741	0.114682	-0.234290	0.463178	0.130012	-0.017347	-0.039610	-0.032172	0.037143
0.115000	0.163780	0.036711	-0.719897	0.739204	0.090914	0.038933	0.000826	-0.032172	0.037143
0.120000	0.007580	0.036711	-0.401275	0.403022	0.260587	-0.444176	0.000873	-0.032172	0.037143
0.125000	0.163870	0.036831	1.710727	1.718952	0.132975	-0.130097	0.013268	0.043876	0.114874
0.130000	-0.070700	-0.158245	0.412615	0.447539	0.057506	0.063912	0.033290	-0.187067	0.176513
0.135000	0.007670	-0.041319	0.250980	0.254474	-0.073994	-0.034851	-0.035819	0.106688	-0.257676
0.140000	-0.031605	0.114741	0.085910	0.146782	-0.543129	-0.206112	0.047730	2.366999	-6.284952
0.145000	-0.031605	0.075906	0.086921	0.119648	0.132586	-0.002881	0.088658	0.000975	1.562516
0.150000	-0.148620	0.075607	-0.228248	0.282668	-0.206971	0.333253	-0.023635	-0.032172	0.037143
0.155000	0.046765	-0.002364	0.091755	0.103012	-0.118423	0.136981	-0.054165	-1.525078	-1.253511
0.160000	-0.070700	0.075965	-0.722138	0.729556	0.090156	0.097313	0.115197	-0.032172	0.037143
0.165000	-0.070520	0.270563	0.411944	0.497871	-0.466183	-0.411804	-0.015440	0.967486	-1.094521
0.170000	0.085680	-0.002184	0.576839	0.583171	0.092372	-0.031687	0.025404	0.022760	0.197278
0.175000	0.124685	0.114801	0.413307	0.446709	-0.038190	0.072068	0.043751	-0.206541	-0.055257
0.180000	0.046585	-0.080274	-1.203096	1.206671	0.221253	0.135890	0.002809	-0.032172	0.037143
0.185000	0.007580	-0.041438	-0.719891	0.721122	-0.074524	-0.035287	-0.048261	-0.032172	0.037143
0.190000	0.007670	-0.041379	0.900126	0.901110	-0.158538	-0.034380	-0.052193	0.006023	-0.138985
0.195000	0.202605	0.036771	-0.072643	0.218353	-0.077374	-0.027003	0.067953	-0.032172	0.037143
0.200000	0.007400	-0.002543	-0.234456	0.234587	-0.033870	-0.137236	-0.032203	-0.032172	0.037143
0.205000	-0.148440	-0.080155	-0.071105	0.183071	0.264392	0.230411	-0.015150	-0.032172	0.037143
0.210000	-0.031695	0.036532	0.249952	0.254588	-0.245380	-0.036249	0.002528	0.112853	-0.944568
0.215000	-0.226630	0.075427	0.901677	0.932777	-0.163641	0.092189	-0.093039	-0.134414	-0.144342
0.220000	0.163600	0.036711	-0.720411	0.739665	0.006817	0.039033	0.041438	-0.032172	0.037143
0.225000	0.046405	0.036532	1.062445	1.064086	0.133078	-0.067170	0.002505	0.031050	0.162400
0.230000	0.124685	0.114622	0.573225	0.597722	-0.079850	-0.098016	-0.005370	0.138818	-0.102157
0.235000	0.007490	0.153577	-0.232219	0.278510	0.043558	0.066904	-0.003363	-0.032172	0.037143
0.240000	-0.031785	-0.080274	-0.884815	0.889017	0.222910	-0.071535	0.063750	-0.032172	0.037143
0.245000	0.007490	-0.158245	-0.234456	0.282962	-0.027486	-0.137232	0.012961	-0.032172	0.037143
0.250000	0.085590	-0.080214	-2.020420	2.023823	0.012331	-0.237167	0.029324	-0.032172	0.037143
0.255000	0.085680	-0.002244	0.092275	0.125939	-0.202974	0.070653	0.009030	-0.797851	-2.162526
0.260000	-0.031785	-0.002364	0.253376	0.255372	0.429531	0.167053	0.047389	-0.691481	1.732378
0.265000	0.046675	0.036711	0.254258	0.261100	-0.162455	0.035037	-0.009292	-0.169974	-0.601796
0.270000	-0.031695	0.114562	-0.071951	0.138946	-0.165064	-0.036464	0.018915	-0.032172	0.037143
0.275000	0.085590	-0.080334	0.576503	0.588332	-0.157119	-0.031330	-0.003424	0.022172	-0.235396
0.280000	-0.070160	-0.002304	1.064004	1.066317	-0.118249	0.200726	-0.088521	-0.220823	-0.073992
0.285000	0.007670	0.075786	0.088305	0.116620	-0.036410	-0.000980	0.005134	-0.021073	-0.375177
0.290000	0.007670	-0.002364	-0.561705	0.561763	0.135797	-0.069665	-0.044000	-0.032172	0.037143
0.295000	0.046765	-0.119170	-0.558078	0.572573	-0.113230	0.068549	-0.013249	-0.032172	0.037143
