BioWare Version 5.3.2.9 Export
Device:	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6
Samples (#):	4000	4000	4000	4000	4000	4000	4000	4000	4000
Rate (Hz):	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	811	811	811	811	811	811	811	811	811
Contact period end (sample #):	3999	3999	3999	3999	3999	3999	3999	3999	3999
Contact period start time (s):	4.055000	4.055000	4.055000	4.055000	4.055000	4.055000	4.055000	4.055000	4.055000
Contact period end time (s):	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	|Ft|	Mx	My	Mz	Ax	Ay
	N	N	N	N	N m	N m	N m	m	m
0.000000	-0.034741	0.175475	-0.269115	0.323143	-0.048527	-0.047974	0.014722	-0.030633	0.001961
0.005000	0.043089	0.136460	0.215469	0.258660	-0.341471	-0.146255	0.067423	0.648141	-1.582821
0.010000	0.043179	0.136519	-0.757307	0.770724	-0.088462	-0.079050	0.063491	-0.030633	0.001961
0.015000	-0.112841	0.136161	0.056746	0.185723	0.037092	0.153105	-0.075317	-2.728718	0.655607
0.020000	0.043179	0.097445	1.189250	1.194016	0.249883	0.057595	0.038924	-0.079062	0.212079
0.025000	-0.151756	0.253326	-0.593779	0.663157	0.117193	0.082932	-0.048437	-0.030633	0.001961
0.030000	0.238475	-0.136526	0.705720	0.757331	-0.036320	0.099911	0.012301	-0.172205	-0.049504
0.035000	-0.034741	0.175355	0.051231	0.185960	0.036918	-0.116119	-0.018026	2.235927	0.722583
0.040000	0.199559	-0.097571	0.055715	0.229016	-0.037557	-0.038186	-0.026327	0.654745	-0.672132
0.045000	-0.074016	0.058430	1.186154	1.189896	0.083467	-0.287376	0.040919	0.211643	0.072329
0.050000	-0.073926	0.331356	-0.108339	0.356369	-0.012400	-0.083634	0.028844	-0.030633	0.001961
0.055000	0.082184	0.214370	-0.113687	0.256191	0.162518	-0.213774	0.040897	-0.030633	0.001961
0.060000	0.004084	0.097265	0.377096	0.389459	0.039447	-0.182377	-0.000032	0.453003	0.106569
0.065000	-0.268951	0.097325	-0.106096	0.305063	-0.087619	0.044691	-0.054648	-0.030633	0.001961
0.070000	0.199380	-0.019780	-0.266708	0.333582	0.127315	0.029516	-0.034823	-0.030633	0.001961
0.075000	0.121369	-0.058616	-0.432477	0.452993	-0.080687	-0.075663	-0.014178	-0.030633	0.001961
0.080000	0.160375	0.136340	0.376754	0.431569	-0.046207	-0.107792	0.004182	0.255475	-0.120685
0.085000	0.043359	0.019355	1.192699	1.193644	0.167867	0.193961	-0.034448	-0.193256	0.142707
0.090000	-0.073656	0.097325	0.215799	0.247925	0.081472	-0.083587	-0.064859	0.356704	0.379495
0.095000	-0.113021	-0.058616	-0.430067	0.448517	0.003187	0.186932	0.006198	-0.030633	0.001961
0.100000	0.082184	-0.175541	-0.431446	0.472985	0.008339	0.126829	0.024461	-0.030633	0.001961
0.105000	0.160644	0.253206	-0.267564	0.401884	-0.052028	0.096212	-0.081278	-0.030633	0.001961
0.110000	0.121190	0.136400	-0.756787	0.778472	-0.173003	-0.143776	0.051026	-0.030633	0.001961
0.115000	0.082274	0.058191	0.381742	0.394819	0.208751	0.297171	-0.044929	-0.809091	0.548799
0.120000	0.082274	0.136340	0.052960	0.167817	-0.130394	0.025108	0.004205	-0.504720	-2.460156
0.125000	-0.073926	-0.019660	-0.755420	0.759283	0.170323	0.051962	-0.012147	-0.030633	0.001961
0.130000	-0.035011	0.058250	1.839444	1.840699	-0.254753	0.055512	0.001939	-0.060811	-0.136534
0.135000	0.199020	-0.019601	1.026752	1.046047	0.128469	0.098109	0.095522	-0.126185	0.127083
0.140000	-0.034831	-0.097690	0.217534	0.240993	-0.248087	-0.013382	-0.038698	0.030884	-1.138493
0.145000	0.082364	-0.019720	-0.432985	0.441190	-0.335022	-0.144970	-0.048874	-0.030633	0.001961
0.150000	0.121549	0.019474	-0.915840	0.924076	-0.210997	0.094537	-0.022030	-0.030633	0.001961
0.155000	0.043179	0.019235	-0.106090	0.116144	-0.253060	-0.010328	-0.026583	-0.030633	0.001961
0.160000	0.082095	0.058370	-0.754372	0.761067	-0.254573	0.059011	0.044805	-0.030633	0.001961
0.165000	-0.074016	-0.019780	-1.243089	1.245448	-0.039713	0.154078	-0.024589	-0.030633	0.001961
0.170000	-0.073836	0.058430	1.841509	1.843915	-0.170977	0.189988	0.000307	-0.133802	-0.090885
0.175000	-0.191121	0.136340	0.540107	0.588924	0.248156	-0.224613	0.014440	0.385234	0.461417
0.180000	0.121190	-0.019660	0.380025	0.399365	0.043569	0.026706	0.018254	-0.100907	0.116609
0.185000	-0.151936	0.175355	-0.425748	0.484866	-0.344722	0.322093	-0.007838	-0.030633	0.001961
0.190000	0.121369	0.136400	-0.593075	0.620543	-0.299799	-0.041356	0.010414	-0.030633	0.001961
0.195000	0.082544	0.097325	1.349529	1.355550	-0.297619	-0.178184	-0.064906	0.101401	-0.218575
0.200000	-0.347321	-0.058735	-0.105918	0.367832	-0.249818	0.041731	-0.026479	-0.030633	0.001961
0.205000	-0.152206	0.058310	1.349518	1.359325	0.041266	-0.052177	0.028501	0.008031	0.032539
0.210000	-0.113111	0.058191	1.839274	1.843667	-0.338759	0.188556	-0.014411	-0.133149	-0.182220
0.215000	0.004084	-0.058675	-0.108859	0.123732	0.088137	-0.012512	-0.000058	-0.030633	0.001961
0.220000	-0.073836	0.058250	0.054859	0.108878	-0.212096	0.018890	-0.048814	-0.374970	-3.864258
0.225000	-0.073926	0.136161	-0.757129	0.772819	-0.257046	-0.083598	-0.044869	-0.030633	0.001961
0.230000	0.160464	-0.019780	0.218734	0.272002	-0.083042	0.062478	-0.065271	-0.316267	-0.377687
0.235000	-0.152026	-0.253571	-0.916886	0.963375	0.137932	0.286983	-0.012161	-0.030633	0.001961
0.240000	0.121369	0.058430	0.866154	0.876566	-0.085847	0.129233	0.010402	-0.179835	-0.097152
0.245000	0.160375	-0.175601	-0.108169	0.261259	0.092394	-0.210274	-0.012242	-0.030633	0.001961
0.250000	-0.034741	-0.136586	0.056916	0.151994	0.132282	0.020061	-0.034450	-0.383099	2.326139
0.255000	0.043359	-0.058675	-0.268429	0.278167	0.045215	0.023189	-0.050834	-0.030633	0.001961
0.260000	-0.151936	0.019474	-0.918095	0.930786	0.211103	0.082635	0.008511	-0.030633	0.001961
0.265000	-0.034921	-0.175601	0.865454	0.883779	0.260855	-0.013820	-0.002031	-0.014664	0.303369
0.270000	0.043269	0.253146	0.215813	0.335456	-0.346166	-0.010109	-0.046852	0.016210	-1.602046
0.275000	0.160105	-0.058675	-0.593603	0.617609	0.045350	-0.108343	0.040508	-0.030633	0.001961
0.280000	-0.035011	0.136280	0.055373	0.151209	-0.131198	0.020374	0.018325	-0.398569	-2.367386
0.285000	0.121100	0.097206	-1.240854	1.250533	0.123282	0.161900	0.014018	-0.030633	0.001961
0.290000	-0.074016	-0.058675	-0.594988	0.602438	0.214352	-0.118233	-0.000034	-0.030633	0.001961
0.295000	0.082095	0.097445	0.701584	0.713060	-0.044837	-0.110820	0.069372	0.127324	-0.061948
